site,treatment,year,month,date,Andrena_chrysosceles,Andrena_minutula,Anthophora_furcata,Lasioglossum_morio,Lasioglossum_calceatum,Lasioglossum_lativentre,Lasioglossum_smeathmanellum,Megachile_ligniseca,Halictus_tumulorum,Andrena_bicolor,Lasioglossum_malachurum,Andrena_cineraria,Andrena_haemorrhoa,Andrena_nitida,Nomada_flava,Halictus_rubicundus,Lasioglossum_albipes,Lasioglossum_fulvicorne,Osmia_bicolor,Lasioglossum_parvulum,Hylaeus_confusus,Nomada_fabriciana,Andrena_flavipes,Andrena_angustior,Hylaeus_dilatatus,Hylaeus_annularis,Chelostoma_florisomne,Lasioglossum_leucopus,Andrena_carantonica,Andrena_nigroaenea,Nomada_lathburiana,Lasioglossum_villosulum,Hylaeus_communis,Lasioglossum_quadrinotatum,Osmia_spinulosa,Andrena_dorsata,Andrena_congruens,Lasioglossum_zonulum,Chelostoma_campanularum,Lasioglossum_pauxillum,Lasioglossum_minutissimum,Andrena_fulva,Andrena_helvola,Andrena_subopaca,Nomada_goodeniana,Nomada_marshamella,Sphecodes_ephippius,Lasioglossum_pauperatum,Andrena_praecox,Andrena_varians,Nomada_flavoguttata,Lasioglossum_minutula,Sphecodes_niger,Hylaeus_pectoralis,Lasioglossum_semilaeve
RR,MC,2011,8,2011-08-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RR,MC,2011,8,2011-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,AF,2012,8,2012-08-09,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,AF,2012,8,2012-08-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAF,AF,2012,8,2012-08-09,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
WAF,AF,2012,8,2012-08-22,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WH,AF,2011,8,2011-08-02,0,1,0,0,4,0,0,0,0,4,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WH,AF,2011,8,2011-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WH,MC,2011,8,2011-08-02,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WH,MC,2011,8,2011-08-21,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
